gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TBC1D20,4,0.7540097650333244,-0.07391085808765505,0.303,0.259,1
LINC01355,4,0.7542000370913206,-0.08605908479687732,0.211,0.21,1
U2AF2,4,0.7542072243012915,-0.055221504345488004,0.421,0.354,1
ADCK5,4,0.7544828193746632,-0.025759281253204994,0.145,0.128,1
WDR60,4,0.75492517264084,-0.07015273423889234,0.566,0.534,1
KDELR3,4,0.7552739921190811,-0.033294353810261204,0.105,0.091,1
EPS8L1,4,0.7553851123372649,-0.058949217268538495,0.197,0.169,1
EXOC2,4,0.7554129922576063,-0.0725658927616782,0.118,0.123,1
CEP85L,4,0.7563915245894597,-0.028551526675981626,0.197,0.173,1
ANKRD49,4,0.756497230709491,-0.022086141784389723,0.342,0.304,1
PRPF6,4,0.756716964975395,-0.07206409216209825,0.553,0.472,1
NGLY1,4,0.7570248944150493,-0.1073231825391143,0.355,0.293,1
IGSF8,4,0.7571459954808268,-0.05679831584082312,0.276,0.237,1
STK3,4,0.757234725393676,-0.08764855260881042,0.237,0.23,1
OSBPL2,4,0.7572648645727491,-0.050553196727236974,0.184,0.158,1
SMARCE1,4,0.7575105789220046,0.007558593468025787,0.842,0.739,1
ATAD1,4,0.7576099886772792,-0.10656037210298352,0.434,0.353,1
GPATCH3,4,0.7578540936966437,-0.02853465754399717,0.105,0.115,1
EIF2B3,4,0.7578967941794208,-0.053771462027596625,0.211,0.18,1
PWAR6,4,0.7583203208215242,-0.07950021703419138,0.368,0.311,1
VIPAS39,4,0.7585323797616624,-0.051067666157144836,0.171,0.147,1
ZNF83,4,0.7587439672708094,-0.05791345952847543,0.474,0.4,1
COMMD3,4,0.758770970612527,-0.15648057237733515,0.566,0.469,1
CSE1L,4,0.758964797923932,-0.07352190834679717,0.276,0.235,1
DEK,4,0.7590455487924896,0.0666187131427931,0.776,0.681,1
DCAF5,4,0.7592152134493305,-0.032442799757187446,0.382,0.318,1
TMEM222,4,0.7594293929311017,-0.13263802718669274,0.355,0.317,1
