Gene,Prop0,Mean0,Prop1,Mean1,Prop2,Mean2,Prop3,Mean3,Prop4,Mean4
NUDT22,0.2576419213973799,0.37858017336328004,0.37209302325581395,0.36317084995411697,0.3372093023255814,0.25648414643687933,0.3898305084745763,0.3682913728015045,0.5,0.37218081467035596
DNAJC4,0.44541484716157204,0.7731917723963172,0.654485049833887,0.9107831074077435,0.627906976744186,0.688482444841409,0.5169491525423728,0.7464547478980609,0.5394736842105263,0.5832112807241489
VEGFB,0.11135371179039301,0.15974824291840412,0.2857142857142857,0.23724116104595225,0.313953488372093,0.20831670597377797,0.1864406779661017,0.1376594141267904,0.40789473684210525,0.3019907248972298
FKBP2,0.8777292576419214,3.5295193580755395,0.9601328903654485,3.6149769263753804,0.8837209302325582,1.5605398758858509,0.8813559322033898,2.1381093606889237,0.9210526315789473,1.9913558015285042
PPP1R14B,0.06768558951965066,0.06576692480923407,0.2292358803986711,0.1496169680942737,0.313953488372093,0.20215357745103543,0.211864406779661,0.11090394887099941,0.39473684210526316,0.3279360546816821
PLCB3,0.021834061135371178,0.020919836854615407,0.036544850498338874,0.019377672835904417,0.0872093023255814,0.05272088289355759,0.00847457627118644,0.0018824443615332283,0.07894736842105263,0.04817552322111579
BAD,0.5982532751091703,1.2984043229453874,0.7940199335548173,1.5497298454037474,0.7151162790697675,0.9245523208943031,0.7203389830508474,1.1443461030421878,0.7763157894736842,1.0358027006245343
GPR137,0.36681222707423583,0.6313267041330038,0.4950166112956811,0.5596588288316124,0.45348837209302323,0.40357375443966126,0.2966101694915254,0.30059364077620443,0.35526315789473684,0.21044580142977526
KCNK4,0,0,0,0,0,0,0,0,0,0
CATSPERZ,0.004366812227074236,0.0038324480723102763,0,0,0.005813953488372093,7.711222728489699e-4,0,0,0.013157894736842105,0.002439674176634362
ESRRA,0.14847161572052403,0.18249860660588782,0.2757475083056478,0.21779920513061923,0.1511627906976744,0.09196490780387206,0.2288135593220339,0.14168852903226026,0.4473684210526316,0.3088070261096545
TRMT112,0.9410480349344978,4.926945173365241,0.9601328903654485,3.986980321668276,0.9534883720930233,3.3911974402921006,0.9661016949152542,3.5767771806294713,0.9736842105263158,3.0514585741455567
PRDX5,0.9410480349344978,5.015924617734635,0.9601328903654485,4.614925096184155,0.9709302325581395,3.680874918760132,0.9830508474576272,4.940556032360903,0.9868421052631579,4.475423431611433
CCDC88B,0.004366812227074236,0.006001659818650044,0.026578073089700997,0.016947740068738594,0.040697674418604654,0.023290978822931404,0.01694915254237288,0.006846382238217539,0.09210526315789473,0.048783503632829545
