gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
SLTM,0.33776323587468227,0.5912259426165586,0.44,0.507,1
PPP2R1A,0.013418579094392298,0.5898354360785026,0.56,0.507,1
RAB3IP,0.4200874153519623,0.5894082152865768,0.2,0.167,1
HNRNPF,0.04363509034394955,0.5886853581532748,0.56,0.551,1
LINC00839,1.3067833524034078e-6,0.5868679443029484,0.12,0.007,0.02458320842541291
NOL10,0.24169435050697025,0.5857153331262414,0.2,0.141,1
SUCLG1,0.012517921879638188,0.5854750780604012,0.48,0.368,1
RRN3,0.007031449926245316,0.5840792396150076,0.24,0.093,1
NUDC,0.03814563976137834,0.5812098203555145,0.6,0.623,1
DLG2,0.0034659122685091214,0.5811638087279873,0.32,0.141,1
RAB2A,0.013539213507749278,0.5804211778297763,0.68,0.792,1
FADS1,0.2927743196524905,0.5801208752012996,0.16,0.296,1
MESD,0.3120763594119153,0.5798424719814901,0.44,0.509,1
CDC42SE2,0.3836317690754815,0.5789207187356118,0.24,0.213,1
CAAP1,0.11697964945706041,0.5782274965816903,0.24,0.157,1
UTP23,0.16472288465368443,0.5772707282769953,0.2,0.127,1
TUT4,0.17450194260244234,0.5765040224653606,0.4,0.387,1
ARL6IP1,0.025274290193315892,0.575097116649558,0.56,0.528,1
GOLGB1,0.3386231767158524,0.5748125896805257,0.48,0.588,1
FRMD3,0.6101218733269373,0.5738724767687263,0.4,0.5,1
SBDS,0.0024694635636495245,0.5703125131288727,0.76,0.745,1
AIMP1,0.6662455422216782,0.5698335560132435,0.32,0.366,1
C12orf29,0.07173205590605813,0.5695196067191102,0.2,0.104,1
PIGT,0.29870629934882814,0.5691372046373746,0.32,0.294,1
CSNK2B,0.23447399217423814,0.5689575654583636,0.6,0.701,1
YWHAB,0.11691024293144238,0.568159607336044,0.6,0.727,1
STX12,0.7523103928074496,0.5680684261600577,0.28,0.333,1
TSPAN12,0.13152038881673458,0.5659861398479656,0.28,0.206,1
CEP170,0.023774255776178154,0.5659822106705833,0.2,0.083,1
PRMT1,0.07489207520276694,0.5647722920646926,0.52,0.574,1
CHI3L1,0.23762104455958336,0.5637455191403263,0.2,0.141,1
PPFIBP1,0.4222244465711963,0.5631617944885048,0.2,0.171,1
KAT5,0.08879531139156581,0.562100243846902,0.32,0.238,1
FANCF,0.11340145358374455,0.5617847056344181,0.24,0.153,1
VPS72,0.10460626359531192,0.5598821640072045,0.32,0.241,1
DEDD2,0.21527843467357294,0.5582440127568886,0.28,0.234,1
IGBP1,0.04752700026462961,0.5576374083597445,0.52,0.498,1
GMNN,0.1330984420270719,0.5561741819243003,0.2,0.12,1
ASMTL,0.19809122245239685,0.5557576687644107,0.28,0.222,1
POGLUT1,0.5097363550049535,0.5556458064019466,0.24,0.222,1
ATXN10,0.8812450530143217,0.5508101674364951,0.4,0.544,1
TUBB4B,0.02218611048025641,0.549830565786995,0.6,0.6,1
FRY,0.27534469469801787,0.5493763972612657,0.16,0.106,1
TPST1,0.08868871517081578,0.548160531685486,0.16,0.076,1
TRIP11,0.5557413082337064,0.547270563752814,0.36,0.414,1
LCORL,0.4325889737840031,0.5461213899315692,0.2,0.167,1
HMGN5,0.14201577676444146,0.5455225999011659,0.24,0.16,1
SLC40A1,0.977005649085619,0.5452076916723054,0.16,0.185,1
MPDU1,0.16647117016541452,0.5432571779630826,0.36,0.315,1
RBM42,0.6191931559409105,0.5412894514534823,0.36,0.419,1
RAB11FIP1,0.0992155200085052,0.5402383337520562,0.32,0.234,1
C1orf131,0.9975303847752511,0.5401896631058557,0.2,0.248,1
RBM22,0.7275552704001135,0.5401552978575525,0.28,0.336,1
APLP2,0.009512998013852797,0.5389899552850022,0.68,0.734,1
CALM1,0.019246578711800674,0.537956287642598,0.6,0.613,1
CCPG1,0.32645663556125526,0.5378663686405757,0.36,0.37,1
PEBP1,0.0025016605203671016,0.537040978462417,0.72,0.812,1
RPN1,0.010184073950926709,0.5333837120684206,0.56,0.486,1
ILF2,0.038516002527126676,0.527559458885027,0.6,0.644,1
DCTN6,0.5555288688828361,0.5266049567100901,0.36,0.428,1
ROCK1,0.3751639667955053,0.5257109710115956,0.4,0.463,1
PRPF40A,0.010783461990613726,0.5224187406474586,0.56,0.477,1
NCOR1,0.22668104074044185,0.5207365193488173,0.52,0.613,1
PCNA,0.12447927584529087,0.5200784542400085,0.28,0.204,1
ATAD1,0.15747626764257278,0.5194180034784373,0.36,0.31,1
HIST1H2BD,0.759831952725637,0.5190750194416809,0.32,0.394,1
RAF1,0.05890428210504216,0.5188453732891217,0.44,0.396,1
TBCB,0.03688355011214019,0.5174390460660374,0.6,0.66,1
TOPORS,0.39517412493987797,0.5172007615657753,0.28,0.262,1
RRBP1,0.07815368484374455,0.5163022100703903,0.52,0.565,1
PEMT,0.9516187298649449,0.5153402006328494,0.2,0.25,1
PLPP1,0.10206910990297093,0.5151187168561147,0.32,0.229,1
ANXA7,0.42891971770614956,0.5138510498496723,0.4,0.44,1
MIR4458HG,4.8539957871979655e-5,0.5135976023440875,0.12,0.012,0.9131336874876813
CNDP2,0.06709503104406095,0.5129859570303474,0.4,0.317,1
LEPROT,4.619023797296888e-5,0.5122019680236396,0.96,0.917,0.8689307567474907
SHKBP1,0.6068693728627023,0.5113113055923668,0.24,0.366,1
MRPS18B,0.5522146267371691,0.510865246632503,0.32,0.514,1
DEPTOR,0.013599298681282979,0.5104607705376771,0.24,0.102,1
KLHL23,0.18681836222065054,0.5103051586880933,0.24,0.167,1
FRG1BP,1.7703985047588178e-13,0.5101813028958758,0.16,0.002,3.330473667152288e-9
RANGAP1,0.007464135163925393,0.5089862719037057,0.2,0.067,1
ZNF254,0.07859249662007466,0.5085389827057157,0.16,0.074,1
TRAPPC3,0.21181770264756983,0.508343403979469,0.48,0.5,1
MRFAP1,0.01999332534588967,0.507991852500195,0.68,0.817,1
C5orf15,0.26430300905031906,0.5065088266418242,0.48,0.542,1
ARIH2,0.5644961855260521,0.5055399491244783,0.2,0.308,1
HSD17B12,0.058782290771187976,0.504841081945425,0.4,0.319,1
SNHG8,0.5076687798304006,0.5044799742907616,0.48,0.623,1
MALSU1,0.3440704991323282,0.5043953302274361,0.32,0.308,1
TMEM59,0.04435770622328651,0.5043529649949077,0.72,0.852,1
APPL1,0.28654038422578376,0.5010263247932116,0.32,0.306,1
PSMC3,0.6293822327450702,0.5007083416965195,0.44,0.593,1
ASL,0.1978278729978041,0.500672598988184,0.2,0.134,1
CALM2,1.3388254035227006e-6,0.5005889887784636,1,0.993,0.02518598349106904
RSF1,0.4120297341947311,0.5004513215936516,0.4,0.475,1
AMOTL2,0.4624710221171991,0.4986593911916031,0.28,0.289,1
VSTM5,0.022132586472812854,0.4983143393743445,0.24,0.111,1
YWHAQ,0.37591921406421813,0.497833440502951,0.6,0.769,1
TUBB2B,0.00506327589496427,0.49738475355952455,0.16,0.042,1
ORMDL2,0.18310558757043707,0.49712851128505947,0.32,0.259,1
NOP58,0.11471167874950206,0.49642180922765056,0.36,0.308,1
CMTM6,0.06927897451125534,0.49626399591363213,0.6,0.676,1
RAB8A,0.16511389309330618,0.496231261282562,0.36,0.317,1
FXR1,0.00680695665116821,0.49613681300154633,0.64,0.634,1
MPHOSPH10,0.2752262339357817,0.49465161246780115,0.28,0.245,1
BNC2,0.0033183778835963926,0.493554131013183,0.16,0.039,1
SGCB,0.4126747841040575,0.4935377363313152,0.24,0.215,1
CBX1,0.3302754338992444,0.49265672585001585,0.44,0.507,1
TUBB,6.5889563854007216e-6,0.4917391568346412,0.96,0.938,0.12395144752215838
BLVRA,0.11105641121277707,0.4914887545890756,0.2,0.113,1
MED30,0.03753925182900596,0.49073087477069466,0.24,0.123,1
DHX36,0.09848843877685276,0.49024891457564446,0.56,0.616,1
TMEM109,0.15895928205068696,0.49006561835476803,0.32,0.262,1
PSMA4,0.002450784567262282,0.4893506024658334,0.76,0.87,1
CD27-AS1,7.658659089516971e-17,0.48905844529988507,0.16,0,1.4407469479199325e-12
SNX6,0.09461749563156142,0.48888715962839446,0.52,0.562,1
TMEM170A,0.7949811079852656,0.48781265584450156,0.24,0.275,1
TRAPPC2B,0.14868958848657055,0.48738041173412505,0.24,0.16,1
NDUFA8,0.46822810497730744,0.48733815478262044,0.44,0.539,1
EIF2S1,0.19586356122690832,0.48612303231892107,0.32,0.264,1
PVR,0.029599906417396595,0.4850560678672273,0.24,0.116,1
RNF150,0.08922408037547848,0.48315092096206386,0.24,0.144,1
NIPSNAP1,0.12766685192724966,0.48271833617525584,0.36,0.299,1
MAEA,0.1953065159709843,0.48255620197175636,0.28,0.225,1
AASDHPPT,0.17967393848989377,0.48141717986891897,0.4,0.394,1
MRPS35,0.12065088120608532,0.4813412708416366,0.36,0.294,1
ESS2,0.2234815870847064,0.4807886056310403,0.16,0.1,1
PSME3,0.4120863434366778,0.4806069892014907,0.2,0.164,1
ABCE1,0.6509195635301672,0.4799239439681233,0.24,0.248,1
GIGYF2,0.5951802986247727,0.4788017437352654,0.24,0.245,1
CCSER2,0.3662377845996943,0.4773341391608747,0.32,0.306,1
SMC4,0.01103458871666069,0.4756034340772526,0.28,0.125,1
LRRTM3,2.819394808998973e-11,0.47452061262458517,0.16,0.005,5.303845514688868e-7
TMTC3,0.5463939124738888,0.4739693988856278,0.16,0.134,1
ADAM9,0.10377972693637598,0.4734143717635831,0.28,0.185,1
DCDC2,6.963554647650618e-6,0.4722950141935201,0.24,0.042,0.13099839003160343
TMOD3,0.9841155338960258,0.47111221612816134,0.32,0.431,1
ARF1,0.0019608609866457634,0.4699594026553433,0.84,0.94,1
CCDC191,0.17702491436638662,0.4688999262595091,0.16,0.09,1
GPC6,0.07887939486588164,0.46888852137147286,0.48,0.449,1
VTA1,0.13286665288515825,0.4686947412964002,0.28,0.201,1
LEMD3,0.17854653435500928,0.4686934740059395,0.2,0.13,1
ENOPH1,0.16865958448745935,0.46776443123156575,0.4,0.382,1
PSME1,0.08667928441957187,0.4675774813598428,0.6,0.655,1
OS9,0.19510242524606003,0.467270293535472,0.4,0.37,1
BEX1,3.28924309723482e-4,0.4672279838835194,0.2,0.042,1
HSPA9,0.11361637688571591,0.4667183827802821,0.44,0.431,1
NAP1L1,0.026600032862958794,0.4664457596432605,0.76,0.914,1
ZNF22,0.25867340170772174,0.4655003173805069,0.48,0.537,1
CDC40,0.14931413130956497,0.4651851549783662,0.36,0.322,1
